Date,MaxT,MeanT,MinT,MaxDewPoint,MeanDewPoint,MinDewpoint,MaxHumidity,MeanHumidity,MinHumidity,MaxSLP,MeanSLP,MinSLP,MaxVisibility,MeanVisibility,MinVisibility,MaxWindSpeed,MeanWindSpeed,MaxGustSpeed,Precipitation,CloudCover,Events,WindDirDegrees
2016-1-1,11.015,4.740,-1.023,10.022,5.934,-1.215,100,88,64,1016.863,1006.107,993.990,10.000,9.000,5.000,47.136,34.109,65.891,7.907,4.015,Rain,140
2016-1-2,12.110,9.234,7.336,11.142,9.260,3.149,100,91,68,1004.285,997.128,987.974,10.000,9.000,4.000,40.195,26.020,60.215,4.148,5.027,Rain,265
2016-1-3,10.982,9.191,5.984,10.065,7.419,3.051,100,83,64,991.137,984.704,983.109,10.000,9.000,4.000,48.225,26.205,70.923,9.241,2.184,Rain,209
2016-1-4,11.058,8.997,7.165,8.277,7.337,6.011,93,84,66,980.974,980.888,980.180,10.000,10.000,10.000,29.209,18.184,,1.022,2.006,Rain,216
2016-1-5,10.396,7.895,6.057,8.268,6.104,3.974,100,88,69,988.995,985.124,980.061,10.000,10.000,10.000,26.207,11.183,,0.367,3.002,Rain,230
2016-1-6,9.105,7.082,4.377,8.093,6.119,2.887,100,87,63,997.729,993.103,984.881,10.000,10.000,6.000,40.218,14.043,59.880,0.336,2.934,Rain,226
2016-1-7,10.874,5.736,1.884,11.055,4.143,1.079,100,82,56,999.815,992.211,980.101,10.000,9.000,6.000,47.225,27.126,71.128,0.851,1.901,Rain,257
2016-1-8,10.892,5.169,-0.992,8.004,5.205,-1.096,100,89,65,999.971,997.285,994.711,10.000,10.000,10.000,16.286,8.139,,1.157,1.080,Rain,192
2016-1-9,9.715,7.037,4.211,9.140,7.058,2.991,100,88,66,994.859,985.185,978.922,10.000,9.000,6.000,45.323,19.048,77.086,10.978,4.050,Rain,198
2016-1-10,9.200,5.880,2.895,5.180,3.020,1.039,100,77,52,984.906,984.878,983.950,10.000,10.000,10.000,23.232,13.293,,4.170,1.897,Rain,200
2016-1-11,9.301,4.047,1.241,6.171,4.177,1.069,100,90,68,994.091,985.064,978.080,10.000,9.000,3.000,23.206,8.042,,0.483,2.026,Fog-Rain,288
2016-1-12,6.662,6.241,3.790,5.192,2.400,-0.173,93,75,55,1014.248,1005.099,995.187,10.000,10.000,10.000,40.081,24.032,64.096,1.026,3.086,Rain,293
2016-1-13,8.648,2.783,-1.793,5.342,2.148,-2.148,100,82,56,1017.165,1012.740,1006.955,10.000,10.000,10.000,23.369,10.230,,0.634,2.053,Rain,215
2016-1-14,7.380,3.950,0.956,4.087,1.132,-2.074,100,81,49,1018.086,1011.954,1005.856,10.000,10.000,8.000,32.021,16.135,39.803,0.781,2.053,Rain,306
2016-1-15,5.987,2.717,1.355,3.056,1.070,-0.728,100,81,66,1027.856,1024.791,1018.073,10.000,10.000,10.000,32.107,14.218,,1.080,0.800,Rain,311
2016-1-16,6.164,2.089,-1.632,4.134,1.204,-1.883,100,90,72,1031.096,1029.002,1027.908,10.000,10.000,10.000,11.217,5.050,,0.000,1.138,,163
2016-1-17,8.240,4.094,0.092,8.116,5.122,1.596,100,96,77,1024.032,1019.751,1015.001,10.000,7.000,3.000,24.038,8.062,,0.043,4.912,Fog-Rain,127
2016-1-18,5.901,5.166,4.002,5.969,4.228,0.906,100,91,73,1013.076,1010.070,1008.138,10.000,9.000,5.000,29.316,23.057,,10.950,5.924,Rain,117
2016-1-19,5.997,1.005,-2.934,1.032,-1.950,-3.993,100,82,42,1018.308,1015.604,1012.914,10.000,10.000,10.000,23.072,10.204,,0.000,0.940,,49
2016-1-20,6.852,0.797,-5.154,3.180,-0.877,-4.830,100,84,58,1018.765,1017.912,1017.033,10.000,10.000,10.000,21.100,10.007,,0.000,3.082,,104
2016-1-21,8.960,4.187,0.090,8.439,5.638,3.208,100,94,80,1018.256,1016.658,1015.965,10.000,7.000,4.000,29.124,23.122,,1.147,6.243,Rain,161
2016-1-22,13.746,11.024,7.834,13.194,8.245,6.186,100,87,56,1025.130,1016.167,1010.168,10.000,8.000,4.000,34.134,23.072,,2.077,3.798,Rain,223
2016-1-23,12.836,6.905,2.127,12.936,7.624,1.319,100,96,80,1028.976,1027.117,1023.621,10.000,7.000,3.000,29.185,16.142,,0.765,4.251,Fog-Rain,177
2016-1-24,14.277,11.648,8.892,14.020,11.846,9.838,100,94,75,1027.004,1025.277,1022.989,10.000,9.000,7.000,24.057,16.034,,0.000,2.799,,183
2016-1-25,13.785,9.923,5.941,12.126,8.165,4.225,100,85,65,1023.991,1019.040,1016.219,10.000,10.000,6.000,35.459,21.182,70.927,0.000,3.982,,201
2016-1-26,13.319,9.063,3.821,12.112,9.025,6.471,100,88,67,1023.191,1013.865,1009.853,10.000,10.000,8.000,45.045,27.058,69.064,1.189,6.136,Rain,207
2016-1-27,12.872,8.984,4.921,13.038,9.088,2.902,100,87,67,1018.760,1010.020,1006.072,10.000,10.000,7.000,39.114,29.050,59.942,0.514,3.844,Rain,254
2016-1-28,10.675,4.765,-1.289,9.052,4.001,-0.883,100,81,54,1025.968,1024.259,1019.909,10.000,10.000,10.000,32.200,13.024,,0.422,3.102,Rain,222
2016-1-29,12.034,9.799,8.143,11.136,9.013,6.783,100,85,69,1023.305,1018.302,1011.150,10.000,10.000,10.000,35.110,26.186,63.038,0.626,3.889,Rain,226
2016-1-30,8.085,5.920,3.871,9.578,4.262,1.114,100,81,51,1014.060,1011.954,1009.908,10.000,10.000,10.000,35.171,21.152,45.408,1.160,2.149,Rain,263
2016-1-31,14.290,8.869,2.929,12.173,9.076,2.187,100,89,76,1014.921,1010.123,1006.690,10.000,10.000,8.000,42.133,26.080,73.921,0.265,6.029,Rain,258
2016-2-1,14.931,12.081,9.941,10.257,8.056,3.775,88,72,46,1019.223,1017.009,1017.276,10.000,10.000,10.000,40.123,27.015,63.059,0.000,3.725,,252
2016-2-2,9.825,6.709,4.133,6.053,4.267,1.938,93,76,55,1020.000,1017.928,1016.080,10.000,10.000,10.000,35.066,23.036,60.976,1.259,1.848,Rain,263
